ShipmentID,GenericName,CargoUnit,OriginLocationName,OriginCountry,OriginPort,OriginPortCode,DestinationLocationName,DestinationCountry,DestinationPort,DestinationPortCode,Carrier,ModeOfTransport,SecondaryMode,ContainerNumber,BillOfLadingNumber,ETD,ETA,ATD,ATA,FreightTerms,CargoDescription,CargoWeight,CargoVolume,FreightCost,CustomsValue,TrackingNumber,TemperatureCategory,TemperatureRange,PackagingType,QualityRequirements,ComplianceRequirements,QualityMetrics,RiskCategory,InspectionFrequency,MonitoringLevel,InsuranceType,InsuranceCoverage,InsurancePremium,HandlingEquipmentCost,HandlingLaborCost,TotalHandlingCost,CarbonFootprint,CarbonFootprintUnit,RequiredDocuments
SHIP-A878E546,Paracetamol,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL78167,29-09-2023 21:00,02-10-2023 21:00,29-09-2023 19:00,04-10-2023 20:00,CIF,Pharmaceutical Raw Materials - Paracetamol,136.19,0.7,7305.69,11540.03,LC2502111294873,CRT,20C to 35C,Pallet Box,"['HACCP', 'GMP']","['EMA', 'FDA']","{'temperature_excursions': 3, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9961732564673197}",MEDIUM,Weekly,Enhanced,All-Risk,17310.045,692.4,58.96,28.1,87.05,616.43,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-2ED7C3D3,Atorvastatin,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL45081,04-01-2023 21:00,09-01-2023 21:00,04-01-2023 19:00,10-01-2023 11:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,27.62,0.07,975.75,1578.35,DA2502118710519,CRT,15C to 25C,Cardboard Box,"['GMP', 'GDP']","['MHRA', 'WHO']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9946283399045586}",MEDIUM,Weekly,Enhanced,Premium,1894.02,75.76,15.93,5.96,21.89,92.74,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-0494C1BF,Aspirin,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL76613,09-04-2024 21:00,16-04-2024 21:00,09-04-2024 13:00,16-04-2024 04:00,CIF,Pharmaceutical Raw Materials - Aspirin,80.24,0.42,285.2,10370.72,JH2502118125333,CRT,30C to 35C,Plastic Drum,"['GMP', 'HACCP']","['EMA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 2, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9888399597781397}",LOW,Monthly,Standard,Basic,8296.576,207.41,43.82,14.51,58.34,7.09,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-4CED5578,Metformin,g,San Francisco Facility,USA,,USSFO,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL92155,18-01-2024 21:00,23-01-2024 21:00,18-01-2024 10:00,25-01-2024 19:00,DAP,Pharmaceutical Raw Materials - Metformin,122.6,0.39,174.68,0.0,YF2502112473522,CRT,20C to 35C,Pallet Box,"['HACCP', 'ISO']","['EMA', 'MHRA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9605075453997337}",MEDIUM,Weekly,Enhanced,Basic,139.744,4.19,72.71,24.66,97.37,6.56,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-C916A378,Amoxicillin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL54437,22-01-2024 21:00,25-01-2024 21:00,23-01-2024 04:00,25-01-2024 21:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,111.84,0.35,5001.79,13439.61,DA2502112651599,CRT,20C to 35C,Pallet Box,"['HACCP', 'GDP']","['FDA', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9627886211837933}",LOW,Monthly,Standard,All-Risk,20159.415,671.98,55.02,24.66,79.68,477.05,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-DD7A5783,Metformin,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL47126,06-06-2022 21:00,09-06-2022 21:00,06-06-2022 16:00,09-06-2022 13:00,CIF,Pharmaceutical Raw Materials - Metformin,118.48,0.48,408.72,21770.5,YF2502114030120,CRT,15C to 25C,Cardboard Box,"['HACCP', 'ISO']","['FDA', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9617666333682742}",LOW,Monthly,Standard,Standard,21770.5,653.12,48.58,29.11,77.69,9.37,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-5115FE2A,Paracetamol,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL74451,24-11-2022 21:00,29-11-2022 21:00,24-11-2022 22:00,29-11-2022 05:00,CIF,Pharmaceutical Raw Materials - Paracetamol,126.49,0.4,4670.2,12705.54,LC2502116279568,CRT,20C to 35C,Pallet Box,"['ISO', 'GDP']","['WHO', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9810602061585515}",HIGH,Daily,Continuous,Premium,15246.648,762.33,50.87,30.22,81.09,455.91,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-94F441E4,COVID-19 Vaccine,doses,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL17026,21-03-2024 21:00,24-03-2024 21:00,21-03-2024 12:00,24-03-2024 06:00,CIF,Pharmaceutical Raw Materials - COVID-19 Vaccine,0.72,0.0,33.96,73.83,ES2502111084042,FRZ,-150C to -196C,Cryogenic Container,"['HACCP', 'GDP']","['MHRA', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9853716816721829}",HIGH,Daily,Continuous,Basic,59.064,2.21,2.86,1.21,4.06,2.9,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-5146D380,Ciprofloxacin,g,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL91704,21-12-2024 21:00,26-12-2024 21:00,21-12-2024 19:00,28-12-2024 14:00,CIF,Pharmaceutical Raw Materials - Ciprofloxacin,46.45,0.17,1667.1,2624.35,ES2502113720837,CRT,15C to 25C,Fiber Drum,"['HACCP', 'GDP']","['WHO', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9986448353401838}",HIGH,Daily,Continuous,Basic,2099.48,78.73,25.25,7.0,32.25,159.56,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-6D68FE5B,Lisinopril,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL24788,16-02-2023 21:00,20-02-2023 21:00,16-02-2023 18:00,21-02-2023 23:00,CIF,Pharmaceutical Raw Materials - Lisinopril,53.92,0.23,2439.46,8975.24,ES2502116752689,CRT,20C to 35C,Pallet Box,"['ISO', 'GMP']","['WHO', 'EMA']","{'temperature_excursions': 3, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9907592727613233}",HIGH,Daily,Continuous,Premium,10770.288,538.51,26.79,11.39,38.18,225.17,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-944A2BF5,Ciprofloxacin,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL71301,29-10-2023 21:00,05-11-2023 21:00,29-10-2023 16:00,05-11-2023 14:00,CIF,Pharmaceutical Raw Materials - Ciprofloxacin,98.26,0.59,275.68,5648.9,XL2502112872618,CRT,15C to 25C,Cardboard Box,"['GMP', 'GDP']","['EMA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 2, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9577046669818007}",LOW,Monthly,Standard,All-Risk,8473.35,282.44,53.56,19.89,73.45,6.21,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-7A3F7486,Atorvastatin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL21142,09-07-2022 21:00,12-07-2022 21:00,09-07-2022 19:00,12-07-2022 21:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,57.99,0.34,2891.1,5688.21,LC2502117341838,CRT,15C to 25C,Fiber Drum,"['GMP', 'HACCP']","['EMA', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9843306352475336}",MEDIUM,Weekly,Enhanced,Standard,5688.21,204.78,31.24,8.91,40.14,260.78,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-FFB932D1,Albuterol,g,Houston Facility,USA,,USHOU,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL33971,07-09-2024 21:00,11-09-2024 21:00,07-09-2024 17:00,13-09-2024 13:00,DAP,Pharmaceutical Raw Materials - Albuterol,28.84,0.12,41.27,0.0,XL2502116430919,CRT,30C to 35C,Plastic Drum,"['GDP', 'HACCP']","['FDA', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9572759530346615}",LOW,Monthly,Standard,Standard,41.27,1.24,14.52,4.75,19.27,1.43,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-5E65BB52,Ibuprofen,g,Toronto Facility,Canada,,CATOR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL62692,08-08-2022 21:00,13-08-2022 21:00,08-08-2022 19:00,15-08-2022 03:00,CIF,Pharmaceutical Raw Materials - Ibuprofen,239.9,0.79,762.65,40687.81,JH2502114237095,CRT,15C to 25C,Fiber Drum,"['ISO', 'HACCP']","['FDA', 'MHRA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9805746590108677}",HIGH,Daily,Continuous,All-Risk,61031.715,3051.59,110.79,43.59,154.38,18.77,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D3E5B613,Lisinopril,g,San Juan Facility,USA,,PRSJC,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL95972,14-09-2023 21:00,16-09-2023 21:00,15-09-2023 03:00,17-09-2023 13:00,DAP,Pharmaceutical Raw Materials - Lisinopril,30.63,0.11,45.01,0.0,JH2502116982892,CRT,30C to 35C,Plastic Drum,"['ISO', 'GMP']","['WHO', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9859941038334786}",MEDIUM,Weekly,Enhanced,Premium,54.012,2.16,12.96,7.35,20.31,1.71,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-C6D812E3,Ciprofloxacin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL82170,13-08-2023 21:00,18-08-2023 21:00,13-08-2023 10:00,19-08-2023 21:00,CIF,Pharmaceutical Raw Materials - Ciprofloxacin,81.38,0.47,4461.73,7384.67,UA2502117288369,CRT,15C to 25C,Fiber Drum,"['GMP', 'ISO']","['MHRA', 'EMA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9967741070887998}",HIGH,Daily,Continuous,Standard,7384.67,332.31,34.44,20.23,54.68,370.52,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-B6D02EE0,Lisinopril,g,Research Triangle Park Facility,USA,,USRDU,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL77298,10-02-2025 21:00,14-02-2025 21:00,11-02-2025 02:00,15-02-2025 15:00,DAP,Pharmaceutical Raw Materials - Lisinopril,36.04,0.21,50.04,0.0,XL2502114396444,CRT,20C to 35C,Pallet Box,"['ISO', 'GDP']","['WHO', 'MHRA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.97991631075171}",HIGH,Daily,Continuous,Premium,60.048,3.0,17.39,7.26,24.65,1.81,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-27E21F3D,Metformin,g,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL75075,01-06-2024 21:00,06-06-2024 21:00,01-06-2024 14:00,07-06-2024 21:00,CIF,Pharmaceutical Raw Materials - Metformin,119.29,0.47,5417.55,20744.83,UA2502114779827,CRT,15C to 25C,Cardboard Box,"['HACCP', 'ISO']","['FDA', 'WHO']","{'temperature_excursions': 0, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9978785341157179}",LOW,Monthly,Standard,All-Risk,31117.245,1037.24,60.72,19.9,80.63,469.26,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-1AB046E5,Sildenafil,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL12128,27-09-2022 21:00,02-10-2022 21:00,27-09-2022 17:00,04-10-2022 17:00,CIF,Pharmaceutical Raw Materials - Sildenafil,30.3,0.13,1296.13,5237.99,LC2502112531902,CRT,30C to 35C,Plastic Drum,"['HACCP', 'ISO']","['FDA', 'WHO']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9738618675385247}",HIGH,Daily,Continuous,All-Risk,7856.985,392.85,16.7,5.59,22.29,124.45,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-A15B65A7,Flu Vaccine,doses,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL66388,10-12-2022 21:00,13-12-2022 21:00,11-12-2022 07:00,14-12-2022 19:00,CIF,Pharmaceutical Raw Materials - Flu Vaccine,0.4,0.0,15.93,23.21,ES2502111440323,FRZ,-150C to -196C,Cryogenic Container,"['GDP', 'HACCP']","['EMA', 'FDA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9596086035370596}",MEDIUM,Weekly,Enhanced,Standard,23.21,0.84,1.55,0.59,2.14,1.38,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-D089E9B9,Albuterol,g,Toronto Facility,Canada,,CATOR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL70580,25-08-2023 21:00,29-08-2023 21:00,25-08-2023 11:00,30-08-2023 19:00,CIF,Pharmaceutical Raw Materials - Albuterol,19.03,0.09,57.72,3462.65,WE2502115769194,CRT,15C to 25C,Cardboard Box,"['GMP', 'GDP']","['MHRA', 'WHO']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.987537026504211}",MEDIUM,Weekly,Enhanced,Basic,2770.12,83.1,9.21,4.24,13.45,1.42,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-C50F6447,Paracetamol,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL83370,28-03-2023 21:00,30-03-2023 21:00,28-03-2023 14:00,30-03-2023 15:00,CIF,Pharmaceutical Raw Materials - Paracetamol,143.0,0.48,6406.63,11993.94,ES2502115639859,CRT,20C to 35C,Pallet Box,"['GDP', 'ISO']","['FDA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 2, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9521264881712377}",HIGH,Daily,Continuous,Standard,11993.94,539.73,66.04,27.18,93.22,538.58,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-B03A02CD,Beta Interferon,mcg,Philadelphia Facility,USA,,USPHL,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL88601,08-11-2022 21:00,11-11-2022 21:00,09-11-2022 04:00,12-11-2022 05:00,DAP,Pharmaceutical Raw Materials - Beta Interferon,0.0,0.0,0.0,0.0,YF2502113337697,DFZ,-80C to -20C,Deep Freeze Container,"['HACCP', 'ISO']","['MHRA', 'FDA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9848092068438095}",MEDIUM,Weekly,Enhanced,Premium,0.0,0.0,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', None]"
SHIP-A22D461D,Rituximab,mg,Toronto Facility,Canada,,CATOR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL76206,29-12-2023 21:00,03-01-2024 21:00,30-12-2023 00:00,03-01-2024 19:00,CIF,Pharmaceutical Raw Materials - Rituximab,0.01,0.0,0.04,1.97,S2502116164424,CRT,20C to 35C,Pallet Box,"['GMP', 'GDP']","['WHO', 'MHRA']","{'temperature_excursions': 3, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9878431222669887}",HIGH,Daily,Continuous,Standard,1.97,0.09,0.01,0.0,0.01,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-A8D7C167,Atorvastatin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL70175,15-02-2024 21:00,19-02-2024 21:00,15-02-2024 10:00,19-02-2024 14:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,36.55,0.14,1751.12,5595.1,ES2502119878486,CRT,15C to 25C,Cardboard Box,"['GDP', 'HACCP']","['MHRA', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9610320861400568}",HIGH,Daily,Continuous,Premium,6714.12,335.71,16.91,7.27,24.18,154.06,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-A6038238,COVID-19 Vaccine,doses,San Francisco Facility,USA,,USSFO,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL76435,14-05-2023 21:00,19-05-2023 21:00,14-05-2023 14:00,20-05-2023 23:00,DAP,Pharmaceutical Raw Materials - COVID-19 Vaccine,0.43,0.0,0.9,0.0,XL2502115144413,FRZ,-25C to -18C,Freezer Container,"['GMP', 'HACCP']","['FDA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 2, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9839541554063067}",MEDIUM,Weekly,Enhanced,Premium,1.08,0.04,1.55,0.58,2.13,0.03,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', None]"
SHIP-50B2D813,Paracetamol,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL52375,20-10-2024 21:00,24-10-2024 21:00,21-10-2024 00:00,25-10-2024 17:00,CIF,Pharmaceutical Raw Materials - Paracetamol,217.16,1.27,9534.64,13221.93,FE2502114496000,CRT,30C to 35C,Plastic Drum,"['GMP', 'HACCP']","['EMA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.986136543282286}",HIGH,Daily,Continuous,Premium,15866.316,793.32,89.9,45.26,135.16,836.14,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D1EEE504,Sildenafil,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL54991,13-03-2024 21:00,20-03-2024 21:00,14-03-2024 09:00,21-03-2024 15:00,CIF,Pharmaceutical Raw Materials - Sildenafil,44.01,0.15,166.41,4303.31,S2502112251727,CRT,15C to 25C,Fiber Drum,"['GDP', 'GMP']","['FDA', 'WHO']","{'temperature_excursions': 3, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9927064475956057}",MEDIUM,Weekly,Enhanced,Premium,5163.972,206.56,25.35,7.24,32.59,3.57,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-594C9AEA,Ibuprofen,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL87838,01-09-2024 21:00,05-09-2024 21:00,01-09-2024 14:00,05-09-2024 01:00,CIF,Pharmaceutical Raw Materials - Ibuprofen,236.34,0.82,11484.03,34748.12,ES2502118851498,CRT,20C to 35C,Pallet Box,"['ISO', 'GDP']","['MHRA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9742729907403491}",LOW,Monthly,Standard,Basic,27798.496,694.96,119.72,50.44,170.16,1034.84,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-8F22EEE7,Albuterol,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL34579,04-06-2022 21:00,09-06-2022 21:00,04-06-2022 22:00,10-06-2022 19:00,CIF,Pharmaceutical Raw Materials - Albuterol,38.62,0.17,157.72,7104.08,WE2502119019268,CRT,15C to 25C,Fiber Drum,"['HACCP', 'ISO']","['FDA', 'MHRA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9840760102965866}",HIGH,Daily,Continuous,All-Risk,10656.12,532.81,20.59,7.24,27.82,3.33,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-4E03D95F,Ciprofloxacin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL65068,18-11-2023 21:00,23-11-2023 21:00,18-11-2023 21:00,22-11-2023 22:00,CIF,Pharmaceutical Raw Materials - Ciprofloxacin,54.69,0.21,2489.01,10201.61,UA2502118932129,CRT,20C to 35C,Pallet Box,"['HACCP', 'ISO']","['FDA', 'WHO']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9681303335961696}",LOW,Monthly,Standard,All-Risk,15302.415,510.08,29.74,9.69,39.43,244.46,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-E4B739A1,Insulin,IU,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL55332,10-05-2022 21:00,15-05-2022 21:00,11-05-2022 05:00,16-05-2022 22:00,CIF,Pharmaceutical Raw Materials - Insulin,0.0,0.0,0.12,0.35,UA2502111847066,REF,-30C to 30C,Reefer Container,"['HACCP', 'GMP']","['FDA', 'MHRA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9723391992157687}",LOW,Monthly,Standard,Basic,0.28,0.01,0.01,0.0,0.01,0.01,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-31C0D9B2,Metformin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL70383,25-02-2023 21:00,28-02-2023 21:00,26-02-2023 01:00,02-03-2023 16:00,CIF,Pharmaceutical Raw Materials - Metformin,201.46,0.41,9022.97,27216.44,UA2502117391590,CRT,15C to 25C,Fiber Drum,"['ISO', 'GMP']","['FDA', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.977077456483818}",HIGH,Daily,Continuous,All-Risk,40824.66,2041.23,81.23,40.59,121.82,820.84,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
